mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_min_child_samples,param_min_child_weight,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
103.75580922762553,0.18701567920780263,150.84096225102743,0.9059379953135872,0.5837393077292833,289,0.1,18,100,50,0.5475068223224993,"{'colsample_bytree': 0.5837393077292833, 'min_child_samples': 289, 'min_child_weight': 0.1, 'num_leaves': 18, 'reg_alpha': 100, 'reg_lambda': 50, 'subsample': 0.5475068223224993}",0.7070212801709951,0.7093047607473155,0.7103161905131175,0.708880743810476,0.0013781512526331076,5
159.93415792783102,6.5402701481360515,174.17487303415933,1.3995787861789863,0.8956369520104168,232,10.0,29,10,0,0.5905395499928763,"{'colsample_bytree': 0.8956369520104168, 'min_child_samples': 232, 'min_child_weight': 10.0, 'num_leaves': 29, 'reg_alpha': 10, 'reg_lambda': 0, 'subsample': 0.5905395499928763}",0.721086711302823,0.7232328529763399,0.7240736438849944,0.722797736054719,0.0012576264984008232,1
173.13787245750427,31.64743587449093,146.50486056009927,5.628254898166191,0.9524956937759248,424,10.0,18,0.1,0,0.301837238956167,"{'colsample_bytree': 0.9524956937759248, 'min_child_samples': 424, 'min_child_weight': 10.0, 'num_leaves': 18, 'reg_alpha': 0.1, 'reg_lambda': 0, 'subsample': 0.301837238956167}",0.7104324236881774,0.712704359096215,0.7137759475134198,0.712304243432604,0.001394000789261133,3
164.8737155596415,22.693134475616585,135.70420662562051,4.5135634962645765,0.9894130001745846,421,10.0,15,1,1,0.5590023896261775,"{'colsample_bytree': 0.9894130001745846, 'min_child_samples': 421, 'min_child_weight': 10.0, 'num_leaves': 15, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.5590023896261775}",0.7072304567279428,0.7089988579734,0.7104975687826185,0.7089089611613204,0.001335306799220893,4
137.79793874422708,1.7731788102307708,167.61732109387717,1.895263783869899,0.4165178996588055,297,1e-05,28,50,100,0.7353436507509516,"{'colsample_bytree': 0.4165178996588055, 'min_child_samples': 297, 'min_child_weight': 1e-05, 'num_leaves': 28, 'reg_alpha': 50, 'reg_lambda': 100, 'subsample': 0.7353436507509516}",0.7121575468529321,0.714269540620755,0.7155281231328147,0.7139850702021673,0.001390656602452088,2
